Adaptation Order,Character 0
Checkpoint 0,169.69908876376806
Checkpoint 1,176.67656304308505,229.83272880057763
Checkpoint 2,179.56089819644615,235.5962669734692,213.83761722805664
Checkpoint 3,176.3206088202134,259.7168551463001,204.42099185660481,173.70031174283503
Checkpoint 4,172.4457961314278,240.3412507450306,208.21309188065854,169.19797993177787,209.20045952155044
Checkpoint 5,171.23385805637264,246.04644193653792,218.01456185858984,179.66032341869905,198.51366725132982,213.76661248032534
Checkpoint 6,178.21873517842965,248.19885434953204,226.89176366870743,184.43526788857488,205.97176851890717,224.82825163465856,273.9375818207535
Checkpoint 7,176.242923233199,242.98223762355576,230.61526441474186,176.1647845887695,200.95143869767702,226.3530003958487,259.33606389647764,225.52542247441448
Checkpoint 8,181.1434826456545,246.7745128394535,222.29825433995336,186.2599677424308,210.82466160776772,217.5262755539401,262.9367411397336,231.12772770018938,218.29994849588974
Checkpoint 9,174.55317297049066,228.06311205359356,213.18528314975438,173.48265517606725,204.51090532722878,221.3547521959203,249.50392216663482,218.68608114185798,232.31251208333433,170.08846413887053
